lng,lat,codigo,nombre,dept,muni
-89.1430555555556,13.7063888888889,21450,COLEGIO VERSALLES,SAN SALVADOR,SOYAPANGO
-89.1069444444444,13.7452777777778,11743,CENTRO ESCOLAR ROSENDO RODRIGUEZ,SAN SALVADOR,TONACATEPEQUE
-89.1689916666667,13.7288527777778,11780,CENTRO ESCOLAR PEDRO PABLO CASTILLO,SAN SALVADOR,CIUDAD DELGADO
-88.9700971998215,13.618273423204,60330,CENTRO ESCOLAR ERLINDA HERNANDEZ DE ARGUETA,LA PAZ,PARAÍSO DE OSORIO
-88.8248055555556,13.4601944444444,11527,CENTRO ESCOLAR LOTIFICACION LA MAYRA,LA PAZ,ZACATECOLUCA
-88.9488112896813,13.3718823280109,86449,CENTRO ESCOLAR CANTON LA ANONA,LA PAZ,SAN LUIS LA HERRADURA
-88.6494833333333,13.8499833333333,12137,CENTRO ESCOLAR CASERIO ZACAMIL CANTON TEMPISQUE,CABAÑAS,GUACOTECTI
-88.7949166666667,13.89875,76009,CENTRO ESCOLAR CASERIO EL CARRIZAL CANTON LAS HUERTAS,CABAÑAS,ILOBASCO
-88.8216666666667,13.9083333333333,76015,CENTRO ESCOLAR CASERIO SAN LUIS GRAMAL CANTON SAN FRANCISCO DEL MONTE,CABAÑAS,ILOBASCO
-88.8063666666667,13.9143333333333,86434,CENTRO ESCOLAR CASERIO LA MONTAÑA CANTON SAN FRANCISCO DEL MONTE,CABAÑAS,ILOBASCO
-88.7538388541107,13.9883735870197,88114,CENTRO ESCOLAR CATOLICO SAN FRANCISCO DE SALES,CABAÑAS,SENSUNTEPEQUE
-88.8859166666667,13.6338333333333,78021,CENTRO ESCOLAR CANTON SAN BENITO PIEDRA GORDA,SAN VICENTE,GUADALUPE
-88.82615,13.6392333333333,12335,CENTRO ESCOLAR SAN JUAN BOSCO,SAN VICENTE,SAN CAYETANO ISTEPEQUE
-88.8506666666667,13.6904666666667,12348,CENTRO ESCOLAR CANTON IXCANALES,SAN VICENTE,SANTO DOMINGO
-88.5833166666667,13.7414833333333,78039,"CENTRO ESCOLAR CASERIO LA GUASITA, CANTON SAN FRANCISCO",SAN VICENTE,SAN ILDEFONSO
-88.7759833333333,13.5980833333333,12427,CENTRO ESCOLAR CANTON SAN ANTONIO CAMINOS,SAN VICENTE,SAN VICENTE
-88.5025277777778,13.6062222222222,12542,CENTRO ESCOLAR CANTON ESCARBADERO,USULUTÁN,ESTANZUELAS
-88.2920555555555,13.2514722222222,86505,CENTRO ESCOLAR CASERIO EL ESCONDIDO CANTON SAMURIA,USULUTÁN,JUCUARÁN
-88.5580555555556,13.2963888888889,80116,CENTRO ESCOLAR CASERIO LOTIFICACION EL SITIO CANTON SANTA LUCIA,USULUTÁN,PUERTO EL TRIUNFO
-88.3570833333333,13.4611111111111,12846,CENTRO ESCOLAR CANTON JOCOTE DULCE,SAN MIGUEL,CHINAMECA
-88.0474166666667,13.2870277777778,82042,CENTRO ESCOLAR CASERIO LOS PAJARITOS CANTON TIERRA BLANCA,SAN MIGUEL,CHIRILAGUA
-88.3507777777778,13.5855277777778,82062,CENTRO ESCOLAR CASERIO LAS LAJAS,SAN MIGUEL,LOLOTIQUE
-88.3440277777778,13.6404444444444,82070,CENTRO ESCOLAR CANTON SANTA BARBARA,SAN MIGUEL,LOLOTIQUE
-88.1944444444444,13.4910277777778,13017,CENTRO ESCOLAR COLONIA CHAPARRASTIQUE,SAN MIGUEL,SAN MIGUEL
-88.1996944444444,13.4993888888889,20937,COLEGIO CRISTIANO JOSUE,SAN MIGUEL,SAN MIGUEL
-88.3812777777778,13.7078888888889,13118,CENTRO ESCOLAR CASERIO QUESERITAS CANTON MINITAS,SAN MIGUEL,SESORI
-88.0413611111111,13.8028055555556,86544,CENTRO ESCOLAR CASERIO EL COLON CANTON AGUA BLANCA,MORAZAN,CACAOPERA
-88.1970555555556,13.6304722222222,13200,CENTRO ESCOLAR CANTON SAN BARTOLO,MORAZAN,GUATAJIAGUA
-87.8542777777778,13.3405555555556,13447,CENTRO ESCOLAR REPUBLICA DE HONDURAS,LA UNIÓN,LA UNIÓN
-89.9143888888889,13.9876111111111,60002,CENTRO ESCOLAR CASERIO CALAPA CANTON EL TIGRE ,AHUACHAPAN,AHUACHAPÁN
-89.8116944444444,13.9970555555556,60007,CENTRO ESCOLAR CASERIO HACIENDA EL OBRAJUELO,AHUACHAPAN,AHUACHAPÁN
-89.5207777777778,14.0496666666667,62064,CENTRO ESCOLAR CASERIO EL CHAPARRON CANTON CUTUMAY CAMONES,SANTA ANA,SANTA ANA
-89.4030555555556,13.8347222222222,68204,"CENTRO ESCOLAR CASERIO EL CONACASTE, CANTON EL CONACASTE",LA LIBERTAD,CIUDAD ARCE
-89.2430555555556,13.68,20170,COLEGIO AUGUSTO WALTE,LA LIBERTAD,ANTIGUO CUSCATLÁN
-89.2838888888889,13.6683333333333,21338,COLEGIO EL CAMINO,LA LIBERTAD,SANTA TECLA
-89.1977083333333,13.6551777777778,11591,CENTRO ESCOLAR CONFEDERACION SUIZA,SAN SALVADOR,SAN SALVADOR
-89.19235,13.7021472222222,11673,CENTRO ESCOLAR REPUBLICA DE COLOMBIA,SAN SALVADOR,SAN SALVADOR
